No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定),team,year
13,須永　英輝,投手,1985/10/28,25歳,7年,182cm,81kg,O型,左左,東京,700万円,日ハム,2010
14,大塚　豊,投手,1987/12/20,23歳,1年,182cm,83kg,A型,右右,東京,900万円,日ハム,2010
15,榊原　諒,投手,1985/08/04,25歳,2年,176cm,70kg,A型,右右,愛知,"1,000万円",日ハム,2010
16,多田野　数人,投手,1980/04/25,30歳,3年,181cm,80kg,O型,右右,東京,"3,500万円",日ハム,2010
17,宮本　賢,投手,1984/07/18,26歳,4年,174cm,74kg,AB型,左左,岡山,"1,100万円",日ハム,2010
19,林　昌範,投手,1983/09/19,27歳,9年,187cm,84kg,O型,左左,千葉,"4,000万円",日ハム,2010
20,糸数　敬作,投手,1984/11/07,26歳,4年,181cm,88kg,A型,右右,沖縄,"1,800万円",日ハム,2010
21,武田　久,投手,1978/10/14,32歳,8年,170cm,73kg,B型,右左,徳島,"19,000万円",日ハム,2010
22,建山　義紀,投手,1975/12/26,35歳,12年,178cm,75kg,O型,右右,大阪,"7,200万円",日ハム,2010
23,二岡　智宏,内野手,1976/04/29,34歳,12年,180cm,81kg,O型,右右,広島,"8,000万円",日ハム,2010
24,陽　岱鋼,内野手,1987/01/17,23歳,5年,182cm,83kg,A型,右右,台湾,"1,100万円",日ハム,2010
25,宮西　尚生,投手,1985/06/02,25歳,3年,180cm,75kg,O型,左左,兵庫,"3,800万円",日ハム,2010
26,糸井　嘉男,外野手,1981/07/31,29歳,7年,187cm,87kg,A型,右左,京都,"6,000万円",日ハム,2010
27,石井　裕也,投手,1981/07/04,29歳,6年,178cm,78kg,B型,左左,神奈川,"2,650万円",日ハム,2010
28,大野　奨太,捕手,1987/01/13,23歳,2年,177cm,81kg,O型,右右,岐阜,"2,000万円",日ハム,2010
29,八木　智哉,投手,1983/11/07,27歳,5年,181cm,78kg,O型,左左,神奈川,"6,000万円",日ハム,2010
30,松家　卓弘,投手,1982/07/29,28歳,6年,184cm,85kg,A型,右右,香川,800万円,日ハム,2010
31,ケッペル,投手,1982/06/11,28歳,1年,196cm,97kg,不明,右右,アメリカ,"4,650万円",日ハム,2010
32,中嶋　聡,捕手,1969/03/27,41歳,24年,182cm,82kg,AB型,右右,秋田,"3,200万円",日ハム,2010
33,矢貫　俊之,投手,1983/12/15,27歳,2年,190cm,88kg,B型,右右,福島,810万円,日ハム,2010
34,吉川　光夫,投手,1988/04/06,22歳,4年,177cm,75kg,O型,左左,福岡,"1,100万円",日ハム,2010
35,木下　達生,投手,1987/11/28,23歳,5年,183cm,87kg,AB型,右右,愛知,600万円,日ハム,2010
36,中村　勝,投手,1991/12/11,19歳,1年,184cm,75kg,A型,右右,埼玉,700万円,日ハム,2010
37,土屋　健二,投手,1990/10/04,20歳,2年,181cm,83kg,B型,左左,静岡,500万円,日ハム,2010
38,武田　勝,投手,1978/07/10,32歳,5年,176cm,71kg,B型,左左,愛知,"9,000万円",日ハム,2010
39,加藤　政義,内野手,1987/04/28,23歳,1年,173cm,76kg,B型,右左,宮城,900万円,日ハム,2010
40,岩舘　学,内野手,1981/04/14,29歳,7年,177cm,76kg,A型,右右,千葉,840万円,日ハム,2010
41,稲葉　篤紀,外野手,1972/08/03,38歳,16年,185cm,87kg,O型,左左,愛知,"25,000万円",日ハム,2010
42,木田　優夫,投手,1968/09/12,42歳,19年,188cm,95kg,A型,右右,東京,"1,000万円",日ハム,2010
43,増井　浩俊,投手,1984/06/26,26歳,1年,181cm,67kg,A型,右右,静岡,900万円,日ハム,2010
44,山本　一徳,投手,1983/06/13,27歳,4年,185cm,94kg,O型,左左,島根,900万円,日ハム,2010
45,今浪　隆博,内野手,1984/07/06,26歳,4年,171cm,75kg,A型,右左,福岡,730万円,日ハム,2010
46,植村　祐介,投手,1988/07/05,22歳,4年,180cm,80kg,O型,右右,大阪,550万円,日ハム,2010
47,菊地　和正,投手,1982/06/27,28歳,6年,181cm,86kg,B型,右右,群馬,"3,500万円",日ハム,2010
48,谷元　圭介,投手,1985/01/28,25歳,2年,166cm,70kg,A型,右右,三重,880万円,日ハム,2010
49,加藤　武治,投手,1978/03/24,32歳,8年,188cm,82kg,O型,右右,山形,"3,000万円",日ハム,2010
50,市川　卓,内野手,1986/06/07,24歳,6年,186cm,90kg,O型,右左,三重,550万円,日ハム,2010
51,村田　和哉,外野手,1985/07/23,25歳,3年,165cm,65kg,B型,右左,千葉,"1,100万円",日ハム,2010
52,紺田　敏正,外野手,1980/08/12,30歳,8年,185cm,77kg,A型,右左,富山,"1,900万円",日ハム,2010
53,尾崎　匡哉,捕手,1984/06/02,26歳,8年,181cm,81kg,B型,右右,兵庫,640万円,日ハム,2010
54,大平　成一,外野手,1989/04/08,21歳,3年,183cm,85kg,A型,右左,長崎,480万円,日ハム,2010
55,運天　ジョン・クレイトン,投手,1992/03/27,18歳,1年,180cm,70kg,A型,右右,沖縄,480万円,日ハム,2010
56,中島　卓也,内野手,1991/01/11,19歳,2年,176cm,67kg,A型,右左,福岡,500万円,日ハム,2010
57,関口　雄大,外野手,1985/08/26,25歳,3年,177cm,85kg,B型,右右,栃木,490万円,日ハム,2010
58,高口　隆行,内野手,1983/08/23,27歳,5年,180cm,78kg,B型,右右,東京,960万円,日ハム,2010
59,金森　敬之,投手,1985/07/24,25歳,7年,182cm,85kg,O型,右右,大阪,"1,300万円",日ハム,2010
60,荒張　裕司,捕手,1989/04/24,21歳,1年,177cm,80kg,O型,右右,大阪,480万円,日ハム,2010
61,杉谷　拳士,内野手,1991/02/04,19歳,2年,173cm,72kg,B型,右両,東京,450万円,日ハム,2010
62,今成　亮太,捕手,1987/10/06,23歳,5年,178cm,78kg,O型,右左,埼玉,590万円,日ハム,2010
63,渡部　龍一,捕手,1985/10/02,25歳,7年,171cm,79kg,A型,右右,北海道,550万円,日ハム,2010
64,鶴岡　慎也,捕手,1981/04/11,29歳,8年,176cm,77kg,A型,右右,鹿児島,"4,500万円",日ハム,2010
65,鵜久森　淳志,外野手,1987/02/01,23歳,6年,189cm,85kg,O型,右右,愛媛,580万円,日ハム,2010
66,ダース　ローマシュ匡,投手,1988/12/15,22歳,4年,191cm,80kg,A型,右右,奈良,520万円,日ハム,2010
67,豊島　明好,投手,1990/01/16,20歳,3年,170cm,74kg,O型,左左,石川,480万円,日ハム,2010
68,浅沼　寿紀,投手,1989/07/21,21歳,3年,181cm,74kg,B型,左左,北海道,450万円,日ハム,2010
69,佐藤　賢治,外野手,1988/08/26,22歳,4年,181cm,78kg,A型,右左,東京,600万円,日ハム,2010
0,荻野　忠寛,投手,1982/04/26,28歳,4年,174cm,72kg,A型,右右,東京,"5,200万円",ロッテ,2010
1,清田　育宏,外野手,1986/02/11,24歳,1年,180cm,85kg,A型,右右,千葉,"1,500万円",ロッテ,2010
2,今岡　誠,内野手,1974/09/11,36歳,14年,185cm,83kg,A型,右右,兵庫,"1,500万円",ロッテ,2010
3,サブロー,外野手,1976/06/01,34歳,16年,181cm,85kg,B型,右右,岡山,"13,000万円",ロッテ,2010
4,荻野　貴司,外野手,1985/10/21,25歳,1年,172cm,75kg,O型,右右,奈良,"1,500万円",ロッテ,2010
5,堀　幸一,内野手,1969/04/02,41歳,23年,182cm,85kg,A型,右右,長崎,"3,400万円",ロッテ,2010
6,井口　資仁,内野手,1974/12/04,36歳,10年,178cm,91kg,O型,右右,東京,"18,000万円",ロッテ,2010
7,西岡　剛,内野手,1984/07/27,26歳,8年,182cm,80kg,A型,右左,大阪,"17,000万円",ロッテ,2010
8,今江　敏晃,内野手,1983/08/26,27歳,9年,180cm,88kg,B型,右右,京都,"10,200万円",ロッテ,2010
9,福浦　和也,内野手,1975/12/14,35歳,17年,183cm,88kg,B型,左左,千葉,"9,500万円",ロッテ,2010
10,大松　尚逸,外野手,1982/06/16,28歳,6年,184cm,90kg,B型,左左,石川,"7,000万円",ロッテ,2010
11,大嶺　祐太,投手,1988/06/16,22歳,4年,184cm,80kg,A型,右左,沖縄,"2,000万円",ロッテ,2010
12,吉見　祐治,投手,1978/05/21,32歳,10年,188cm,86kg,O型,左左,和歌山,"2,900万円",ロッテ,2010
13,橋本　健太郎,投手,1980/04/28,30歳,6年,192cm,93kg,A型,右右,京都,"1,700万円",ロッテ,2010
14,大谷　智久,投手,1985/02/14,25歳,1年,176cm,82kg,A型,右右,兵庫,"1,500万円",ロッテ,2010
15,上野　大樹,投手,1986/10/13,24歳,2年,182cm,80kg,B型,右右,東京,"1,400万円",ロッテ,2010
16,塀内　久雄,内野手,1981/07/07,29歳,11年,180cm,82kg,A型,右左,愛媛,"1,460万円",ロッテ,2010
17,成瀬　善久,投手,1985/10/13,25歳,7年,180cm,86kg,AB型,左左,栃木,"10,000万円",ロッテ,2010
19,唐川　侑己,投手,1989/07/05,21歳,3年,181cm,76kg,O型,右右,千葉,"3,200万円",ロッテ,2010
20,服部　泰卓,投手,1982/09/10,28歳,3年,173cm,71kg,A型,左左,徳島,"1,000万円",ロッテ,2010
21,内　竜也,投手,1985/07/13,25歳,7年,182cm,75kg,A型,右右,神奈川,"1,500万円",ロッテ,2010
22,里崎　智也,捕手,1976/05/20,34歳,12年,175cm,88kg,A型,右右,徳島,"13,000万円",ロッテ,2010
23,大塚　明,外野手,1975/04/28,35歳,17年,184cm,83kg,A型,右右,大分,"2,300万円",ロッテ,2010
24,下敷領　悠太,投手,1983/05/04,27歳,3年,184cm,74kg,B型,右右,大阪,800万円,ロッテ,2010
25,竹原　直隆,外野手,1980/04/21,30歳,6年,183cm,88kg,O型,左右,岡山,"2,200万円",ロッテ,2010
27,古谷　拓哉,投手,1981/07/14,29歳,5年,180cm,74kg,A型,左左,北海道,810万円,ロッテ,2010
28,根本　朋久,投手,1986/03/21,24歳,3年,178cm,76kg,AB型,左左,福島,"1,300万円",ロッテ,2010
29,小野　晋吾,投手,1975/04/07,35歳,17年,179cm,82kg,O型,右右,静岡,"10,500万円",ロッテ,2010
30,伊藤　義弘,投手,1982/06/02,28歳,3年,177cm,75kg,B型,右右,福岡,"3,000万円",ロッテ,2010
31,渡辺　俊介,投手,1976/08/27,34歳,10年,177cm,70kg,A型,右右,栃木,"14,000万円",ロッテ,2010
32,根元　俊一,内野手,1983/07/08,27歳,5年,177cm,75kg,A型,右左,東京,"2,400万円",ロッテ,2010
33,コーリー,投手,1973/10/21,37歳,2年,180cm,79kg,不明,右右,アメリカ,"2,700万円",ロッテ,2010
34,木村　雄太,投手,1985/05/21,25歳,2年,190cm,85kg,B型,左左,秋田,"1,200万円",ロッテ,2010
35,坪井　俊樹,投手,1986/07/07,24歳,2年,186cm,70kg,A型,左左,兵庫,900万円,ロッテ,2010
36,黒滝　将人,投手,1988/04/21,22歳,4年,183cm,83kg,B型,右右,北海道,530万円,ロッテ,2010
37,林　啓介,投手,1987/09/07,23歳,5年,184cm,78kg,O型,右右,福井,550万円,ロッテ,2010
38,中郷　大樹,投手,1984/09/21,26歳,4年,178cm,75kg,A型,右右,徳島,940万円,ロッテ,2010
39,田中　雅彦,捕手,1982/01/09,28歳,7年,175cm,75kg,A型,右右,大阪,"1,650万円",ロッテ,2010
40,渡辺　正人,内野手,1979/04/03,31歳,13年,183cm,80kg,A型,右右,大阪,"1,420万円",ロッテ,2010
41,小林宏,投手,1978/06/04,32歳,14年,183cm,80kg,O型,右右,埼玉,"17,000万円",ロッテ,2010
42,香月　良仁,投手,1984/01/22,26歳,2年,180cm,79kg,A型,右右,福岡,"1,000万円",ロッテ,2010
43,斉藤　俊雄,捕手,1983/12/23,27歳,6年,180cm,85kg,A型,右右,愛知,950万円,ロッテ,2010
44,ペン,投手,1984/10/13,26歳,1年,187cm,91kg,不明,右右,アメリカ,"1,800万円",ロッテ,2010
45,松本　幸大,投手,1980/12/23,30歳,4年,175cm,75kg,A型,左左,兵庫,900万円,ロッテ,2010
46,川越　英隆,投手,1973/06/08,37歳,12年,174cm,76kg,B型,右右,神奈川,"1,500万円",ロッテ,2010
47,那須野　巧,投手,1982/10/04,28歳,6年,192cm,84kg,A型,左左,東京,"2,400万円",ロッテ,2010
48,秋親,投手,1978/09/19,32歳,9年,184cm,85kg,B型,右右,京都,750万円,ロッテ,2010
49,薮田　安彦,投手,1973/06/19,37歳,13年,183cm,85kg,B型,右右,大阪,"5,000万円",ロッテ,2010
50,翔太,内野手,1991/09/17,19歳,1年,180cm,78kg,A型,右右,沖縄,550万円,ロッテ,2010
51,植松　優友,投手,1989/11/27,21歳,3年,183cm,83kg,A型,左左,大阪,580万円,ロッテ,2010
52,金　泰均,内野手,1982/05/29,28歳,1年,184cm,100kg,不明,右右,韓国,"15,000万円",ロッテ,2010
53,相原　勝幸,投手,1983/07/24,27歳,5年,190cm,87kg,O型,右右,埼玉,670万円,ロッテ,2010
55,神戸　拓光,外野手,1985/02/23,25歳,4年,191cm,98kg,A型,右左,茨城,"1,060万円",ロッテ,2010
56,山本　徹矢,投手,1990/06/06,20歳,2年,180cm,80kg,A型,右右,兵庫,500万円,ロッテ,2010
57,山室　公志郎,投手,1987/07/14,23歳,1年,183cm,82kg,A型,右左,神奈川,240万円,ロッテ,2010
58,青野　毅,内野手,1983/01/12,27歳,10年,178cm,83kg,B型,右右,鹿児島,"1,450万円",ロッテ,2010
59,細谷　圭,内野手,1988/01/17,22歳,5年,182cm,84kg,B型,右右,群馬,630万円,ロッテ,2010
60,阿部　和成,投手,1989/05/19,21歳,3年,183cm,71kg,A型,右右,福岡,510万円,ロッテ,2010
61,角中　勝也,外野手,1987/05/25,23歳,4年,180cm,80kg,A型,右左,石川,650万円,ロッテ,2010
62,金澤　岳,捕手,1984/05/05,26歳,8年,180cm,82kg,O型,右左,栃木,740万円,ロッテ,2010
63,青松　敬鎔,捕手,1986/12/07,24歳,6年,185cm,83kg,O型,右右,京都,500万円,ロッテ,2010
64,宮本　裕司,捕手,1983/01/07,27歳,3年,182cm,85kg,A型,右左,和歌山,440万円,ロッテ,2010
65,南　竜介,外野手,1981/07/09,29歳,11年,186cm,88kg,A型,右右,兵庫,"1,150万円",ロッテ,2010
66,岡田　幸文,外野手,1984/07/06,26歳,2年,177cm,70kg,O型,左左,栃木,440万円,ロッテ,2010
67,的場　直樹,捕手,1977/05/09,33歳,11年,179cm,87kg,O型,右右,大阪,750万円,ロッテ,2010
68,早坂　圭介,内野手,1984/06/19,26歳,8年,176cm,63kg,O型,右両,神奈川,"1,500万円",ロッテ,2010
69,マーフィー,投手,1981/05/09,29歳,1年,180cm,86kg,不明,左左,アメリカ,"4,000万円",ロッテ,2010
70,定岡　卓摩,内野手,1986/10/17,24歳,6年,180cm,85kg,O型,右右,福岡,500万円,ロッテ,2010
99,ムニス,外野手,1976/01/28,34歳,2年,180cm,90kg,不明,右右,キューバ,500万円,ロッテ,2010
122,林　彦峰,投手,1985/05/22,25歳,1年,184cm,95kg,不明,右右,台湾,240万円,ロッテ,2010
126,田村　領平,投手,1984/05/03,26歳,8年,178cm,85kg,O型,左左,和歌山,270万円,ロッテ,2010
127,木本　幸広,投手,1990/07/31,20歳,2年,181cm,66kg,A型,右左,和歌山,240万円,ロッテ,2010
128,鈴江　彬,投手,1986/12/25,24歳,2年,180cm,96kg,O型,右右,神奈川,250万円,ロッテ,2010
129,角　晃多,内野手,1991/01/13,19歳,2年,168cm,74kg,A型,右左,神奈川,250万円,ロッテ,2010
130,生山　裕人,内野手,1985/05/10,25歳,2年,183cm,78kg,O型,右左,大阪,240万円,ロッテ,2010
131,西野　勇士,投手,1991/03/06,19歳,2年,182cm,77kg,A型,右右,富山,240万円,ロッテ,2010
133,吉田　真史,内野手,1990/04/08,20歳,2年,180cm,77kg,B型,右両,群馬,240万円,ロッテ,2010
0,上本　崇司,内野手,1990/08/22,28歳,6年,170cm,71kg,A型,右両,広島,800万円,広島,2018
2,田中　広輔,内野手,1989/07/03,29歳,5年,171cm,85kg,A型,右左,神奈川,"14,000万円",広島,2018
4,小窪　哲也,内野手,1985/04/12,33歳,11年,175cm,83kg,O型,右右,奈良,"3,300万円",広島,2018
6,安部　友裕,内野手,1989/06/24,29歳,11年,181cm,81kg,O型,右左,福岡,"4,600万円",広島,2018
7,堂林　翔太,内野手,1991/08/17,27歳,9年,183cm,88kg,A型,右右,愛知,"1,500万円",広島,2018
9,丸　佳浩,外野手,1989/04/11,29歳,11年,177cm,90kg,AB型,右左,千葉,"21,000万円",広島,2018
10,岩本　貴裕,外野手,1986/04/18,32歳,10年,182cm,96kg,A型,左左,広島,"1,600万円",広島,2018
11,福井　優也,投手,1988/02/08,30歳,8年,178cm,85kg,A型,右右,岡山,"3,100万円",広島,2018
12,九里　亜蓮,投手,1991/09/01,27歳,5年,187cm,92kg,A型,右右,鳥取,"3,800万円",広島,2018
13,加藤　拓也,投手,1994/12/31,23歳,2年,176cm,90kg,O型,右右,東京,"1,450万円",広島,2018
14,大瀬良　大地,投手,1991/06/17,27歳,5年,187cm,93kg,AB型,右右,長崎,"6,300万円",広島,2018
16,今村　猛,投手,1991/04/17,27歳,9年,183cm,105kg,B型,右右,長崎,"9,500万円",広島,2018
17,岡田　明丈,投手,1993/10/18,25歳,3年,185cm,92kg,AB型,右左,東京,"4,200万円",広島,2018
19,野村　祐輔,投手,1989/06/24,29歳,7年,177cm,84kg,AB型,右右,岡山,"12,000万円",広島,2018
20,永川　勝浩,投手,1980/12/14,37歳,16年,188cm,98kg,O型,右右,広島,"2,000万円",広島,2018
21,中﨑　翔太,投手,1992/08/10,26歳,8年,186cm,100kg,B型,右右,鹿児島,"11,500万円",広島,2018
22,中村　奨成,捕手,1999/06/06,19歳,1年,181cm,76kg,B型,右右,広島,800万円,広島,2018
23,薮田　和樹,投手,1992/08/07,26歳,4年,188cm,88kg,B型,右右,広島,"4,800万円",広島,2018
24,横山　弘樹,投手,1992/03/12,26歳,3年,187cm,86kg,O型,右左,宮崎,950万円,広島,2018
25,新井　貴浩,内野手,1977/01/30,41歳,20年,189cm,102kg,B型,右右,広島,"11,000万円",広島,2018
26,中田　廉,投手,1990/07/21,28歳,10年,189cm,95kg,AB型,右右,大阪,"3,300万円",広島,2018
27,會澤　翼,捕手,1988/04/13,30歳,12年,177cm,91kg,B型,右右,茨城,"5,000万円",広島,2018
28,床田　寛樹,投手,1995/03/01,23歳,2年,181cm,85kg,A型,左左,兵庫,700万円,広島,2018
29,ケムナ　誠,投手,1995/06/05,23歳,1年,192cm,91kg,B型,右右,アメリカ,700万円,広島,2018
30,一岡　竜司,投手,1991/01/11,27歳,7年,179cm,86kg,O型,右右,福岡,"5,300万円",広島,2018
31,石原　慶幸,捕手,1979/09/07,39歳,17年,177cm,90kg,A型,右右,岐阜,"9,000万円",広島,2018
32,白濱　裕太,捕手,1985/10/31,33歳,15年,180cm,92kg,A型,右右,大阪,650万円,広島,2018
33,菊池　涼介,内野手,1990/03/11,28歳,7年,171cm,72kg,A型,右右,東京,"19,000万円",広島,2018
34,高橋　昂也,投手,1998/09/27,20歳,2年,181cm,87kg,A型,左左,埼玉,600万円,広島,2018
35,下水流　昂,外野手,1988/04/23,30歳,6年,178cm,88kg,A型,右右,神奈川,"1,000万円",広島,2018
36,塹江　敦哉,投手,1997/02/21,21歳,4年,178cm,86kg,A型,左左,香川,650万円,広島,2018
37,野間　峻祥,外野手,1993/01/28,25歳,4年,180cm,83kg,B型,右左,兵庫,"1,600万円",広島,2018
38,赤松　真人,外野手,1982/09/06,36歳,14年,182cm,70kg,O型,右右,京都,"2,700万円",広島,2018
39,飯田　哲矢,投手,1991/03/28,27歳,4年,182cm,80kg,A型,左左,神奈川,800万円,広島,2018
40,磯村　嘉孝,捕手,1992/11/01,26歳,8年,178cm,89kg,A型,右右,愛知,850万円,広島,2018
41,藤井　皓哉,投手,1996/07/29,22歳,4年,181cm,86kg,AB型,右左,岡山,600万円,広島,2018
42,ジョンソン,投手,1984/10/14,34歳,4年,193cm,93kg,不明,左左,アメリカ,"34,500万円",広島,2018
43,土生　翔平,外野手,1989/08/16,29歳,7年,180cm,87kg,O型,右左,広島,550万円,広島,2018
44,松山　竜平,外野手,1985/09/18,33歳,11年,176cm,96kg,B型,右左,鹿児島,"6,500万円",広島,2018
45,桒原　樹,内野手,1996/07/04,22歳,4年,180cm,80kg,O型,右左,静岡,500万円,広島,2018
46,高橋　樹也,投手,1997/06/21,21歳,3年,176cm,81kg,A型,左左,岩手,700万円,広島,2018
47,山口　翔,投手,1999/04/28,19歳,1年,181cm,75kg,B型,右右,熊本,600万円,広島,2018
48,アドゥワ　誠,投手,1998/10/02,20歳,2年,196cm,83kg,O型,右右,熊本,480万円,広島,2018
49,天谷　宗一郎,外野手,1983/11/08,35歳,17年,178cm,84kg,O型,左左,福井,"2,200万円",広島,2018
50,髙橋　大樹,外野手,1994/05/11,24歳,6年,181cm,86kg,O型,右右,大阪,550万円,広島,2018
51,鈴木　誠也,外野手,1994/08/18,24歳,6年,181cm,96kg,A型,右右,東京,"9,000万円",広島,2018
52,庄司　隼人,内野手,1991/06/21,27歳,9年,175cm,76kg,A型,右左,静岡,630万円,広島,2018
53,戸田　隆矢,投手,1993/06/10,25歳,7年,181cm,80kg,A型,左左,兵庫,"1,800万円",広島,2018
54,船越　涼太,捕手,1993/11/26,24歳,3年,178cm,85kg,O型,右右,千葉,700万円,広島,2018
55,エルドレッド,内野手,1980/07/12,38歳,7年,196cm,126kg,不明,右右,アメリカ,"11,500万円",広島,2018
56,辻　空,投手,1994/04/24,24歳,6年,184cm,91kg,O型,右右,岐阜,450万円,広島,2018
57,オスカル,投手,1991/03/28,27歳,3年,178cm,80kg,O型,左左,ブラジル,900万円,広島,2018
58,ジャクソン,投手,1987/10/27,31歳,3年,185cm,88kg,不明,右右,アメリカ,"11,300万円",広島,2018
59,曽根　海成,内野手,1995/04/24,23歳,5年,175cm,68kg,A型,右左,大阪,560万円,広島,2018
60,永井　敦士,外野手,2000/01/10,18歳,1年,178cm,88kg,B型,右右,埼玉,500万円,広島,2018
61,坂倉　将吾,捕手,1998/05/29,20歳,2年,176cm,84kg,A型,右左,千葉,600万円,広島,2018
62,ヘルウェグ,投手,1988/10/29,30歳,1年,200cm,106kg,不明,右右,アメリカ,"3,300万円",広島,2018
63,西川　龍馬,内野手,1994/12/10,23歳,3年,176cm,72kg,O型,右左,大阪,"2,000万円",広島,2018
64,中村　恭平,投手,1989/03/22,29歳,8年,185cm,86kg,O型,左左,福岡,700万円,広島,2018
65,長井　良太,投手,1999/01/15,19歳,2年,181cm,80kg,B型,右右,兵庫,450万円,広島,2018
66,遠藤　淳志,投手,1999/04/08,19歳,1年,184cm,74kg,O型,右右,茨城,480万円,広島,2018
67,中村　祐太,投手,1995/08/31,23歳,5年,182cm,88kg,A型,右右,東京,900万円,広島,2018
68,平岡　敬人,投手,1995/08/06,23歳,1年,186cm,92kg,AB型,右右,兵庫,500万円,広島,2018
69,青木　陸,内野手,1997/11/11,21歳,3年,181cm,87kg,B型,右右,山形,450万円,広島,2018
70,カンポス,投手,1987/07/17,31歳,1年,188cm,97kg,不明,右右,ベネズエラ,"4,500万円",広島,2018
95,バティスタ,外野手,1992/01/18,26歳,3年,189cm,107kg,不明,右右,ドミニカ共和国,"2,200万円",広島,2018
96,メヒア,内野手,1993/03/10,25歳,3年,192cm,98kg,不明,右右,ドミニカ共和国,"1,200万円",広島,2018
97,フランスア,投手,1993/09/25,25歳,1年,186cm,110kg,不明,左左,ドミニカ共和国,230万円,広島,2018
98,佐藤　祥万,投手,1989/08/18,29歳,11年,172cm,81kg,B型,左左,栃木,700万円,広島,2018
120,岡林　飛翔,投手,1999/08/09,19歳,1年,183cm,85kg,O型,右右,三重,240万円,広島,2018
121,藤井　黎來,投手,1999/09/17,19歳,1年,182cm,86kg,A型,右右,秋田,240万円,広島,2018
122,佐々木　健,投手,1999/04/02,19歳,1年,189cm,78kg,A型,右右,静岡,250万円,広島,2018
123,木村　聡司,内野手,1996/05/06,22歳,4年,180cm,78kg,B型,右右,静岡,360万円,広島,2018
142,タバーレス,投手,1994/11/08,24歳,1年,187cm,106kg,不明,右右,ドミニカ共和国,230万円,広島,2018
0,上本　博紀,内野手,1986/07/04,32歳,10年,173cm,71kg,O型,右右,広島,"4,300万円",阪神,2018
1,鳥谷　敬,内野手,1981/06/26,37歳,15年,180cm,80kg,B型,右左,東京,"40,000万円",阪神,2018
2,北條　史也,内野手,1994/07/29,24歳,6年,177cm,78kg,O型,右右,大阪,"2,000万円",阪神,2018
3,大山　悠輔,内野手,1994/12/19,23歳,2年,181cm,84kg,O型,右右,茨城,"2,500万円",阪神,2018
4,熊谷　敬宥,内野手,1995/11/10,23歳,1年,173cm,70kg,A型,右両,宮城,"1,000万円",阪神,2018
5,西岡　剛,内野手,1984/07/27,34歳,14年,182cm,81kg,A型,右両,大阪,"7,500万円",阪神,2018
7,糸井　嘉男,外野手,1981/07/31,37歳,15年,188cm,98kg,A型,右左,京都,"40,000万円",阪神,2018
8,福留　孝介,外野手,1977/04/26,41歳,15年,182cm,90kg,B型,右左,鹿児島,"22,000万円",阪神,2018
9,髙山　俊,外野手,1993/04/18,25歳,3年,181cm,89kg,O型,右左,千葉,"3,800万円",阪神,2018
12,坂本　誠志郎,捕手,1993/11/10,25歳,3年,176cm,78kg,O型,右右,兵庫,"1,600万円",阪神,2018
13,岡本　洋介,投手,1985/09/27,33歳,9年,177cm,80kg,A型,右右,和歌山,"2,300万円",阪神,2018
14,能見　篤史,投手,1979/05/28,39歳,14年,180cm,72kg,AB型,左左,兵庫,"12,000万円",阪神,2018
15,横山　雄哉,投手,1994/02/21,24歳,4年,183cm,82kg,O型,左左,山形,"1,300万円",阪神,2018
17,岩貞　祐太,投手,1991/09/05,27歳,5年,183cm,82kg,A型,左左,熊本,"3,500万円",阪神,2018
18,馬場　皐輔,投手,1995/05/18,23歳,1年,180cm,90kg,O型,右右,宮城,"1,500万円",阪神,2018
19,藤浪　晋太郎,投手,1994/04/12,24歳,6年,197cm,94kg,A型,右右,大阪,"12,000万円",阪神,2018
20,ロサリオ,内野手,1989/02/23,29歳,1年,180cm,100kg,不明,右右,ドミニカ共和国,"34,000万円",阪神,2018
21,岩田　稔,投手,1983/10/31,35歳,13年,179cm,92kg,O型,左左,大阪,"5,000万円",阪神,2018
22,藤川　球児,投手,1980/07/21,38歳,17年,185cm,85kg,A型,右左,高知,"20,000万円",阪神,2018
25,江越　大賀,外野手,1993/03/12,25歳,4年,182cm,82kg,O型,右両,長崎,"1,600万円",阪神,2018
26,呂　彦青,投手,1996/03/10,22歳,1年,178cm,72kg,O型,左左,台湾,800万円,阪神,2018
27,尾仲　祐哉,投手,1995/01/31,23歳,2年,173cm,72kg,O型,右左,福岡,920万円,阪神,2018
28,小野　泰己,投手,1994/05/30,24歳,2年,186cm,73kg,A型,右右,福岡,"1,800万円",阪神,2018
29,髙橋　遥人,投手,1995/11/07,23歳,1年,180cm,78kg,A型,左左,静岡,"1,200万円",阪神,2018
30,石崎　剛,投手,1990/09/09,28歳,4年,183cm,92kg,O型,右右,茨城,"1,800万円",阪神,2018
32,山崎　憲晴,内野手,1986/12/13,31歳,10年,176cm,80kg,O型,右右,静岡,"1,000万円",阪神,2018
33,糸原　健斗,内野手,1992/11/11,26歳,2年,175cm,78kg,O型,右左,島根,"1,600万円",阪神,2018
34,谷川　昌希,投手,1992/10/06,26歳,1年,175cm,79kg,O型,右右,福岡,840万円,阪神,2018
35,才木　浩人,投手,1998/11/07,20歳,2年,189cm,80kg,A型,右右,兵庫,600万円,阪神,2018
36,浜地　真澄,投手,1998/05/25,20歳,2年,185cm,89kg,O型,右右,福岡,500万円,阪神,2018
37,森越　祐人,内野手,1988/08/11,30歳,8年,178cm,72kg,A型,右右,愛知,"1,000万円",阪神,2018
